,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
62,118045,8630,-2737,20490,30681,-39226,-40307,41092,176884
63,118045,8630,-2737,20754,7871,-39226,-35678,57580,208538
64,118045,8630,-2737,20839,-15223,-39226,-23428,62059,242556
65,118045,8630,-2838,19557,-64555,-39226,15920,28621,298923
66,108238,8630,-2909,26507,-75308,-39226,36794,13868,300825
67,70011,8630,-2909,25510,-61538,-39226,39852,8766,294000
68,70011,8630,-2909,22225,11642,-39226,16202,64863,204230
69,70011,8630,-2909,31590,35148,-39226,-8210,57711,176793
70,69476,8630,-2909,17256,34014,-39226,4228,54368,172790
71,61122,8630,-2909,4286,33843,-39226,22049,47825,170864
72,61122,31062,-19755,5347,15946,-39226,52956,100844,261712
73,61122,54520,-46001,5416,7615,-39226,99659,183059,364389
74,61122,81096,-49968,10559,-15823,-39226,158179,277332,299634
75,60793,106483,-49968,11147,-12252,-39226,179192,312888,142427
76,60793,106894,-50010,5696,44664,-39226,131539,248310,108079
77,60793,101107,-50010,5544,67051,-39226,113210,219105,143851
78,60793,101928,-73214,5549,61566,-39226,160214,302451,220268
79,60793,101928,-83679,7444,24099,-39226,199593,366899,300361
80,60793,101928,-83679,7679,-17490,-39226,215905,378723,361754
81,60908,89259,-83679,7346,-10202,-39226,184424,327224,440397
82,60908,73983,-64795,7974,-9556,-39226,147836,261415,416752
83,60908,25967,-30144,7941,-6557,-39226,47268,82002,367613
84,58500,7416,-10181,7941,-6700,-39226,31840,49154,276001
85,21708,7470,-10181,7805,-6589,-39226,55092,20406,275781
86,8567,24070,-19335,7700,-6942,-39226,97931,13263,307870
87,8454,39444,-37096,7500,34678,-39226,130583,26244,317959
88,8408,52460,-37170,7294,45813,-39226,157080,31594,272261
89,8408,70950,-37117,7070,41887,-39226,201534,37350,215370
90,8408,86017,-37166,7127,33214,-39226,232130,40565,161126
91,8408,122351,-37414,7272,-12096,-39226,280651,39045,13568
92,8408,131337,-37566,7309,-19588,-39226,272554,36364,-25732
93,8408,135480,-37604,7900,-64886,-39226,315600,35202,-709
94,8408,124497,-37463,16676,-75111,-39226,335029,24011,77131
95,8408,98282,-37196,22859,-74881,-39226,319008,12657,226547
96,8173,84327,-37176,28915,-50824,-39226,297043,8202,263058
97,-6919,70621,-37132,28798,-29828,-40342,257333,-53193,299131
98,-30518,54650,-37132,19199,-27739,-43945,169467,-116066,364366
99,-37381,56058,-37112,13226,14228,-45749,164690,-119389,297339
100,-37381,39282,-37112,13226,33219,-45699,113107,-72062,321291
101,-37381,32841,-7258,13251,7428,-45699,86322,-62559,198547
102,-37381,32896,-7310,13297,7977,-45699,86264,-62253,197994
103,-63804,32896,-7310,15232,1066,-45699,49354,-99311,207665
104,-83965,32896,-16681,17373,-7160,-45699,9745,-124405,274629
105,-83965,32896,-41929,9809,-6302,-45699,9570,-106716,422389
106,-83924,32787,-41929,7608,46101,-45699,19040,-96855,343337
107,-84231,5425,-41872,3995,53391,-45699,3540,15632,351768
108,-103805,1657,-41631,3818,57107,-45699,12213,28378,343504
109,-110115,-1691,-39991,4230,74350,-45699,22225,41886,308643
110,-110115,-1691,-39991,4288,18590,-45699,18291,43704,393655
111,-110115,-1691,-40044,4288,-32360,-45699,34500,104788,440157
112,-123031,-1691,-41053,7263,-42722,-45699,65110,114460,444269
113,-148731,-1691,-43038,6997,-3799,-45699,71402,44218,431911
114,-148784,-1621,-42877,6990,43778,-45699,44213,17833,367897
115,-156401,11694,-42877,16868,38600,-45708,-2719,-19166,381933
116,-156401,12177,-42877,25907,-3630,-45708,4838,4860,441664
117,-123544,18313,-42877,25730,-2140,-45708,-17180,-23241,438735
118,-122967,18313,-42931,25848,-46276,-45708,-11307,35259,473935
119,-107053,45098,-42985,22386,-50493,-44364,-64233,-118211,452607
120,-84087,85796,-52667,18145,-64666,-44364,7529,-321396,359209
121,-81842,112605,-54571,9184,-66786,-42856,43549,-397902,202738
122,-75565,133859,-72527,9530,-64780,-42856,103922,-458434,116123
123,-73851,133904,-72589,9226,6004,-41400,119218,-406247,22740
124,-73903,133904,-72698,13254,55616,-41400,113365,-330740,20188
125,-73903,133904,-72698,30982,18228,-41400,127525,-389059,18150
126,-73918,133904,-72589,32897,-63647,-41340,84966,-454627,107616
127,-88695,133904,-72589,33247,-62123,-40110,-33609,-461458,105161
128,-92176,119099,-72642,32975,-63257,-40123,-61265,-447354,225435
129,-95619,90823,-72642,33062,-57268,-40123,-77392,-348510,420086
130,-114036,89634,-72642,32786,-42664,-40123,-178296,-317786,411859
131,-111382,78195,-72642,25184,-27841,-40123,-130513,-283723,464567
132,-67918,78195,-72642,25156,-27720,-37995,100566,-295755,464420
133,-41942,78234,-72537,24885,-1026,-37995,239646,-215340,425160
134,-41942,78234,-72537,27201,31756,-35113,243761,-189604,382732
135,-41942,77596,-72053,28057,74195,-35113,214987,-137813,349203
136,-25878,75309,-72053,77053,38655,-35113,282478,-75462,424994
137,2161,75306,-72053,77185,17110,-32321,301567,37509,432288
138,2161,54185,-55840,73502,18960,-32372,197793,35837,427112
139,2161,18030,-21200,73612,8834,-32372,77237,16332,312658
140,2144,14339,-16517,73563,9894,-32372,70873,17661,290275
141,58916,14465,-15350,73513,14203,-31702,18712,72511,281221
142,62045,14465,-15526,59529,-12434,-31702,47980,54384,298501
143,62045,14465,-14862,23592,0,-31702,34853,65675,284932
144,62045,18153,-15524,22194,29841,-31702,19532,73293,241360
145,62045,52846,-49647,22194,23705,-31702,78956,178261,369993
146,62045,68218,-49647,22194,8399,-31728,119586,236051,328997
147,59282,80485,-49782,22275,-5130,-31728,161911,266459,286427
148,38628,80440,-49782,22275,-5397,-31728,245592,192102,287045
149,38628,77555,-49782,22252,19234,-31728,215569,186795,271452
150,38628,72806,-49782,22292,2490,-31520,220886,178432,315897
151,38628,71661,-49782,22424,-34641,-31520,230766,159148,375449
152,38628,65845,-49782,22424,-34674,-31520,209644,142248,402537
153,38628,36469,-45577,41431,-7408,-31520,97837,68243,434857
154,38633,22706,-29089,46839,-7266,-31520,69918,45134,364176
155,-6066,24121,-29089,46761,1308,-31520,90681,-8114,353024
156,-6601,24121,-29180,45357,-29801,-31520,69093,-40390,384148
157,-6601,24121,-33319,20357,-13469,-31520,75284,-16135,397408
158,-6531,24069,-57250,19726,-805,-31520,12055,-1814,502876
159,-6531,24069,-54843,19650,38119,-31520,39391,14503,436756
160,-6594,31674,-18038,17751,389,-31520,120226,-13708,273959
161,-6525,32340,-16545,18031,649,-31520,120916,-13510,263292
162,-33063,32340,-16545,17796,666,-31520,102138,-66104,263266
163,-35664,32286,-16545,17515,32879,-31068,88795,-45422,220800
164,-35664,32286,-16545,17364,1206,-30025,98935,-70296,262576
165,-35664,32339,-16545,17891,-38139,-29771,81567,-79787,320430
166,-36228,23329,-16545,17943,-33812,-29771,58819,-62433,330229
167,-38139,-2031,-16039,19732,-2251,-29821,15631,-13808,308763
168,-38139,-2929,-15991,13273,30104,-28873,27130,-7979,260177
169,-40992,-2655,-15991,8189,13890,-28041,22107,-15089,284793
170,-40992,-2260,491,1892,-7280,-28041,38230,-33729,223882
171,-40794,18161,-4988,7137,-27572,-28091,57754,-56754,263702
172,-40794,33081,-33860,5849,-12396,-28286,88158,-78710,384875
173,-40794,53382,-33860,7802,-19412,-27618,149767,-134673,338571
174,-40794,75784,-33860,10374,-26320,-27393,200238,-182402,255891
175,-40728,75780,-33860,10241,49297,-27443,150748,-113610,183255
176,-40779,77190,-42843,5365,43889,-27443,178574,-146238,216310
177,-40779,102533,-83105,-875,47542,-26699,294676,-255526,268793
178,-40779,102533,-83105,-705,-36254,-26833,327364,-281491,382940
179,-41585,102533,-83105,7842,-42797,-26833,313928,-289856,391790
180,-77844,102275,-83105,7529,-42153,-26591,81981,-418600,392865
181,-89928,102275,-83105,8247,-15464,-26758,-2934,-437165,352489
182,-89873,97215,-82817,6842,23907,-27684,5278,-400808,329357
183,-89924,80042,-82878,2538,64113,-27684,4004,-285086,388175
184,-89924,66918,-73352,4567,42668,-27684,5234,-243960,422181
185,-89924,33568,-15897,10343,-5613,-27684,-1431,-125771,266421
186,-89924,13984,-3900,10363,-7220,-27684,-1954,-77922,231569
187,-89924,13984,-15901,12713,-4787,-27648,-1577,-70699,298978
188,-89924,13984,-28184,11478,47475,-27700,13405,-44545,290064
189,-89924,53104,-28184,11790,6076,-27647,2215,-186407,267548
190,-89924,70315,-28184,11860,-48070,-27647,-13592,-242876,284175
191,-89924,83061,-28184,11697,-70791,-27647,-17069,-266245,261759
192,-89924,93825,-49457,11638,-57191,-26143,-14964,-350789,286778
193,-89924,93961,-54993,8513,10672,-26198,2949,-343091,216406
194,-89924,93553,-55041,9004,12914,-26396,3634,-340077,216634
195,-89924,59487,-54989,7585,19375,-26396,4285,-226504,380890
196,-89924,46704,-54931,4195,22312,-26820,2744,-163322,419494
197,-89924,7296,-20379,4262,9302,-26702,1154,-46241,309797
198,-89924,580,-7963,4262,4802,-27287,630,-48401,251709
199,-104230,580,-7963,4262,5440,-27182,-11308,-47197,250707
200,-104230,580,-7963,4522,-41909,-27182,-7437,-9827,313392
201,-104230,580,-7963,7750,-6250,-27232,-12222,-42758,268671
202,-124129,632,-7963,7731,7790,-26545,-26117,-41490,247035
203,-148725,10995,-8891,7798,3359,-26201,-59838,-37192,248671
